,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
0,Los Angeles,Los Angeles,Los Angeles County,6037,CA,California,34.3209,-118.2247,10019635,California,71.6,0.9602272727272734
1,Cook,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,5265398,Illinois,79.6,0.5056818181818187
2,Harris,Harris,Harris County,48201,TX,Texas,29.8577,-95.3936,4697957,Texas,71.8,0.9488636363636368
3,Maricopa,Maricopa,Maricopa County,4013,AZ,Arizona,33.349,-112.4915,4367186,Arizona,76.6,0.6761363636363642
4,San Diego,San Diego,San Diego County,6073,CA,California,33.0343,-116.735,3296317,California,71.6,0.9602272727272734
5,Orange,Orange,Orange County,6059,CA,California,33.7031,-117.7609,3182923,California,71.6,0.9602272727272734
6,Kings,Kings,Kings County,36047,NY,New York,40.6395,-73.9385,2712360,New York,75.6,0.7329545454545461
7,Miami-Dade,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5623,2690113,Florida,76.3,0.6931818181818186
8,Dallas,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,2604722,Texas,71.8,0.9488636363636368
9,Riverside,Riverside,Riverside County,6065,CA,California,33.7436,-115.9938,2409331,California,71.6,0.9602272727272734
10,Queens,Queens,Queens County,36081,NY,New York,40.7023,-73.8203,2393104,New York,75.6,0.7329545454545461
11,King,King,King County,53033,WA,Washington,47.4902,-121.8052,2240876,Washington,83.9,0.26136363636363613
12,Clark,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,2231147,Nevada,74.7,0.7840909090909092
13,San Bernardino,San Bernardino,San Bernardino County,6071,CA,California,34.8414,-116.1784,2171071,California,71.6,0.9602272727272734
14,Tarrant,Tarrant,Tarrant County,48439,TX,Texas,32.7719,-97.2911,2091953,Texas,71.8,0.9488636363636368
15,Bexar,Bexar,Bexar County,48029,TX,Texas,29.4489,-98.52,1990522,Texas,71.8,0.9488636363636368
16,Broward,Broward,Broward County,12011,FL,Florida,26.1523,-80.4871,1934551,Florida,76.3,0.6931818181818186
17,Santa Clara,Santa Clara,Santa Clara County,6085,CA,California,37.2318,-121.6951,1932022,California,71.6,0.9602272727272734
18,Wayne,Wayne,Wayne County,26163,MI,Michigan,42.2819,-83.2822,1789781,Michigan,82.4,0.34659090909090884
19,Alameda,Alameda,Alameda County,6001,CA,California,37.6469,-121.8888,1673133,California,71.6,0.9602272727272734
20,New York,New York,New York County,36061,NY,New York,40.7785,-73.9674,1669127,New York,75.6,0.7329545454545461
21,Middlesex,Middlesex,Middlesex County,25017,MA,Massachusetts,42.4856,-71.3918,1623411,Massachusetts,82.7,0.3295454545454545
22,Philadelphia,Philadelphia,Philadelphia County,42101,PA,Pennsylvania,40.0077,-75.1339,1596865,Pennsylvania,81.9,0.3749999999999998
23,Sacramento,Sacramento,Sacramento County,6067,CA,California,38.4493,-121.3443,1571767,California,71.6,0.9602272727272734
24,Suffolk,Suffolk,Suffolk County,36103,NY,New York,40.8686,-72.8448,1522998,New York,75.6,0.7329545454545461
25,Palm Beach,Palm Beach,Palm Beach County,12099,FL,Florida,26.6476,-80.4655,1481233,Florida,76.3,0.6931818181818186
26,Bronx,Bronx,Bronx County,36005,NY,New York,40.8501,-73.866,1468262,New York,75.6,0.7329545454545461
27,Hillsborough,Hillsborough,Hillsborough County,12057,FL,Florida,27.9291,-82.3091,1444359,Florida,76.3,0.6931818181818186
28,Orange,Orange,Orange County,12095,FL,Florida,28.5145,-81.3236,1409949,Florida,76.3,0.6931818181818186
29,Nassau,Nassau,Nassau County,36059,NY,New York,40.7328,-73.5865,1391678,New York,75.6,0.7329545454545461
30,Franklin,Franklin,Franklin County,39049,OH,Ohio,39.9695,-83.0093,1313598,Ohio,82.3,0.3522727272727275
31,Oakland,Oakland,Oakland County,26125,MI,Michigan,42.6604,-83.3858,1271983,Michigan,82.4,0.34659090909090884
32,Hennepin,Hennepin,Hennepin County,27053,MN,Minnesota,45.0045,-93.477,1270283,Minnesota,86.9,0.0909090909090906
33,Travis,Travis,Travis County,48453,TX,Texas,30.3344,-97.782,1267795,Texas,71.8,0.9488636363636368
34,Cuyahoga,Cuyahoga,Cuyahoga County,39035,OH,Ohio,41.4243,-81.6586,1263667,Ohio,82.3,0.3522727272727275
35,Allegheny,Allegheny,Allegheny County,42003,PA,Pennsylvania,40.4688,-79.9812,1246116,Pennsylvania,81.9,0.3749999999999998
36,Salt Lake,Salt Lake,Salt Lake County,49035,UT,Utah,40.6673,-111.9236,1173331,Utah,85.5,0.17045454545454553
37,Contra Costa,Contra Costa,Contra Costa County,6013,CA,California,37.9192,-121.9277,1161643,California,71.6,0.9602272727272734
38,Fairfax,Fairfax,Fairfax County,51059,VA,Virginia,38.8368,-77.277,1146825,Virginia,81.2,0.4147727272727273
39,Wake,Wake,Wake County,37183,NC,North Carolina,35.7903,-78.6503,1112883,North Carolina,78.7,0.5568181818181819
40,Mecklenburg,Mecklenburg,Mecklenburg County,37119,NC,North Carolina,35.2467,-80.8328,1100984,North Carolina,78.7,0.5568181818181819
41,Montgomery,Montgomery,Montgomery County,24031,MD,Maryland,39.1363,-77.2042,1057201,Maryland,80.0,0.48295454545454564
42,Fulton,Fulton,Fulton County,13121,GA,Georgia,33.7903,-84.467,1054286,Georgia,76.4,0.6874999999999999
43,Collin,Collin,Collin County,48085,TX,Texas,33.188,-96.5724,1039812,Texas,71.8,0.9488636363636368
44,Pima,Pima,Pima County,4019,AZ,Arizona,32.0974,-111.7899,1035063,Arizona,76.6,0.6761363636363642
45,Honolulu,Honolulu,Honolulu County,15003,HI,Hawaii,21.5008,-158.1053,1015167,Hawaii,84.1,0.25000000000000044
46,Fresno,Fresno,Fresno County,6019,CA,California,36.7582,-119.6493,1003150,California,71.6,0.9602272727272734
47,St. Louis,St. Louis,St. Louis County,29189,MO,Missouri,38.6407,-90.4434,1001982,Missouri,81.1,0.42045454545454586
48,Westchester,Westchester,Westchester County,36119,NY,New York,41.1624,-73.7561,999723,New York,75.6,0.7329545454545461
49,Duval,Duval,Duval County,12031,FL,Florida,30.3316,-81.6708,983153,Florida,76.3,0.6931818181818186
50,Marion,Marion,Marion County,18097,IN,Indiana,39.7817,-86.1385,969542,Indiana,81.3,0.4090909090909094
51,Pinellas,Pinellas,Pinellas County,12103,FL,Florida,27.92,-82.7256,957989,Florida,76.3,0.6931818181818186
52,Prince George's,Prince George's,Prince George's County,24033,MD,Maryland,38.8295,-76.8473,957767,Maryland,80.0,0.48295454545454564
53,Fairfield,Fairfield,Fairfield County,9001,CT,Connecticut,41.271,-73.3893,956446,Connecticut,82.8,0.3238636363636366
54,Bergen,Bergen,Bergen County,34003,NJ,New Jersey,40.9597,-74.0742,952979,New Jersey,79.3,0.522727272727273
55,Erie,Erie,Erie County,36029,NY,New York,42.764,-78.7323,949715,New York,75.6,0.7329545454545461
56,Gwinnett,Gwinnett,Gwinnett County,13135,GA,Georgia,33.9617,-84.0236,948505,Georgia,76.4,0.6874999999999999
57,Milwaukee,Milwaukee,Milwaukee County,55079,WI,Wisconsin,43.0072,-87.9669,939123,Wisconsin,84.7,0.21590909090909083
58,DuPage,DuPage,DuPage County,17043,IL,Illinois,41.852,-88.0856,934094,Illinois,79.6,0.5056818181818187
59,Shelby,Shelby,Shelby County,47157,TN,Tennessee,35.1842,-89.894,929178,Tennessee,78.3,0.5795454545454549
60,Pierce,Pierce,Pierce County,53053,WA,Washington,47.0241,-122.1046,910225,Washington,83.9,0.26136363636363613
61,Kern,Kern,Kern County,6029,CA,California,35.3426,-118.7301,905644,California,71.6,0.9602272727272734
62,Hartford,Hartford,Hartford County,9003,CT,Connecticut,41.8064,-72.7329,898636,Connecticut,82.8,0.3238636363636366
63,Denton,Denton,Denton County,48121,TX,Texas,33.2055,-97.1168,885012,Texas,71.8,0.9488636363636368
64,Macomb,Macomb,Macomb County,26099,MI,Michigan,42.6957,-82.9323,879123,Michigan,82.4,0.34659090909090884
65,San Francisco,San Francisco,San Francisco County,6075,CA,California,37.7558,-122.4449,865933,California,71.6,0.9602272727272734
66,Hidalgo,Hidalgo,Hidalgo County,48215,TX,Texas,26.3969,-98.1812,865677,Texas,71.8,0.9488636363636368
67,New Haven,New Haven,New Haven County,9009,CT,Connecticut,41.4106,-72.9321,864751,Connecticut,82.8,0.3238636363636366
68,El Paso,El Paso,El Paso County,48141,TX,Texas,31.7686,-106.2348,860485,Texas,71.8,0.9488636363636368
69,Middlesex,Middlesex,Middlesex County,34023,NJ,New Jersey,40.4392,-74.4117,858770,New Jersey,79.3,0.522727272727273
70,Worcester,Worcester,Worcester County,25027,MA,Massachusetts,42.3514,-71.9077,856858,Massachusetts,82.7,0.3295454545454545
71,Essex,Essex,Essex County,34013,NJ,New Jersey,40.7872,-74.247,852720,New Jersey,79.3,0.522727272727273
72,Montgomery,Montgomery,Montgomery County,42091,PA,Pennsylvania,40.2108,-75.3673,850890,Pennsylvania,81.9,0.3749999999999998
73,Baltimore,Baltimore,Baltimore County,24005,MD,Maryland,39.4627,-76.6393,850702,Maryland,80.0,0.48295454545454564
74,Ventura,Ventura,Ventura County,6111,CA,California,34.4561,-119.0836,845255,California,71.6,0.9602272727272734
75,Hamilton,Hamilton,Hamilton County,39061,OH,Ohio,39.1955,-84.5428,826790,Ohio,82.3,0.3522727272727275
76,Snohomish,Snohomish,Snohomish County,53061,WA,Washington,48.0475,-121.6975,820024,Washington,83.9,0.26136363636363613
77,Multnomah,Multnomah,Multnomah County,41051,OR,Oregon,45.5468,-122.4148,810011,Oregon,83.2,0.30113636363636354
78,Fort Bend,Fort Bend,Fort Bend County,48157,TX,Texas,29.5275,-95.7709,806497,Texas,71.8,0.9488636363636368
79,Essex,Essex,Essex County,25009,MA,Massachusetts,42.6732,-70.952,804598,Massachusetts,82.7,0.3295454545454545
80,Suffolk,Suffolk,Suffolk County,25025,MA,Massachusetts,42.3333,-71.0719,792647,Massachusetts,82.7,0.3295454545454545
81,Oklahoma,Oklahoma,Oklahoma County,40109,OK,Oklahoma,35.5515,-97.4072,790938,Oklahoma,79.9,0.4886363636363634
82,Jefferson,Jefferson,Jefferson County,21111,KY,Kentucky,38.1872,-85.6591,780449,Kentucky,78.1,0.5909090909090915
83,San Joaquin,San Joaquin,San Joaquin County,6077,CA,California,37.9348,-121.2714,771406,California,71.6,0.9602272727272734
84,Cobb,Cobb,Cobb County,13067,GA,Georgia,33.9415,-84.5767,762500,Georgia,76.4,0.6874999999999999
85,San Mateo,San Mateo,San Mateo County,6081,CA,California,37.4229,-122.329,762488,California,71.6,0.9602272727272734
86,DeKalb,DeKalb,DeKalb County,13089,GA,Georgia,33.7715,-84.2264,758634,Georgia,76.4,0.6874999999999999
87,Monroe,Monroe,Monroe County,36055,NY,New York,43.1464,-77.6961,757332,New York,75.6,0.7329545454545461
88,Lee,Lee,Lee County,12071,FL,Florida,26.5779,-81.8337,752251,Florida,76.3,0.6931818181818186
89,El Paso,El Paso,El Paso County,8041,CO,Colorado,38.8321,-104.5254,722736,Colorado,83.4,0.28977272727272707
90,Norfolk,Norfolk,Norfolk County,25021,MA,Massachusetts,42.1605,-71.2115,720403,Massachusetts,82.7,0.3295454545454545
91,Lake,Lake,Lake County,17097,IL,Illinois,42.3233,-88.0037,714484,Illinois,79.6,0.5056818181818187
92,Hudson,Hudson,Hudson County,34017,NJ,New Jersey,40.7371,-74.0779,713264,New Jersey,79.3,0.522727272727273
93,Jackson,Jackson,Jackson County,29095,MO,Missouri,39.0085,-94.3461,713229,Missouri,81.1,0.42045454545454586
94,Polk,Polk,Polk County,12105,FL,Florida,27.9489,-81.6976,713148,Florida,76.3,0.6931818181818186
95,Davidson,Davidson,Davidson County,47037,TN,Tennessee,36.1695,-86.7847,708490,Tennessee,78.3,0.5795454545454549
96,Denver,Denver,Denver County,8031,CO,Colorado,39.762,-104.8758,706799,Colorado,83.4,0.28977272727272707
97,Will,Will,Will County,17197,IL,Illinois,41.445,-87.9786,696403,Illinois,79.6,0.5056818181818187
98,District of Columbia,District of Columbia,District of Columbia,11001,DC,District of Columbia,38.9047,-77.0163,683154,District of Columbia,77.7,0.6136363636363636
99,Bernalillo,Bernalillo,Bernalillo County,35001,NM,New Mexico,35.0514,-106.6702,674919,New Mexico,70.9,1.0
100,Jefferson,Jefferson,Jefferson County,1073,AL,Alabama,33.5543,-86.8964,672550,Alabama,76.1,0.704545454545455
101,Tulsa,Tulsa,Tulsa County,40143,OK,Oklahoma,36.1211,-95.9415,664084,Oklahoma,79.9,0.4886363636363634
102,Providence,Providence,Providence County,44007,RI,Rhode Island,41.8721,-71.58,656672,Rhode Island,79.6,0.5056818181818187
103,Kent,Kent,Kent County,26081,MI,Michigan,43.0322,-85.5493,654958,Michigan,82.4,0.34659090909090884
104,Arapahoe,Arapahoe,Arapahoe County,8005,CO,Colorado,39.6498,-104.3393,651621,Colorado,83.4,0.28977272727272707
105,Utah,Utah,Utah County,49049,UT,Utah,40.1199,-111.6703,648265,Utah,85.5,0.17045454545454553
106,Bucks,Bucks,Bucks County,42017,PA,Pennsylvania,40.337,-75.1069,643872,Pennsylvania,81.9,0.3749999999999998
107,Monmouth,Monmouth,Monmouth County,34025,NJ,New Jersey,40.2603,-74.2213,642160,New Jersey,79.3,0.522727272727273
108,Ocean,Ocean,Ocean County,34029,NJ,New Jersey,39.8855,-74.2813,630057,New Jersey,79.3,0.522727272727273
109,Montgomery,Montgomery,Montgomery County,48339,TX,Texas,30.3002,-95.503,607999,Texas,71.8,0.9488636363636368
110,Johnson,Johnson,Johnson County,20091,KS,Kansas,38.8838,-94.8223,605154,Kansas,83.1,0.3068181818181822
111,Brevard,Brevard,Brevard County,12009,FL,Florida,28.2937,-80.7323,601573,Florida,76.3,0.6931818181818186
112,Washington,Washington,Washington County,41067,OR,Oregon,45.56,-123.0984,596969,Oregon,83.2,0.30113636363636354
113,Baltimore,Baltimore,Baltimore City,24510,MD,Maryland,39.3051,-76.6144,592211,Maryland,80.0,0.48295454545454564
114,Williamson,Williamson,Williamson County,48491,TX,Texas,30.6475,-97.6004,591759,Texas,71.8,0.9488636363636368
115,Anne Arundel,Anne Arundel,Anne Arundel County,24003,MD,Maryland,39.0065,-76.6051,584064,Maryland,80.0,0.48295454545454564
116,Jefferson,Jefferson,Jefferson County,8059,CO,Colorado,39.5864,-105.2505,580130,Colorado,83.4,0.28977272727272707
117,Douglas,Douglas,Douglas County,31055,NE,Nebraska,41.2953,-96.1543,578771,Nebraska,83.6,0.2784090909090913
118,Bristol,Bristol,Bristol County,25005,MA,Massachusetts,41.7972,-71.1144,576070,Massachusetts,82.7,0.3295454545454545
119,Delaware,Delaware,Delaware County,42045,PA,Pennsylvania,39.9167,-75.3991,573883,Pennsylvania,81.9,0.3749999999999998
120,Union,Union,Union County,34039,NJ,New Jersey,40.6601,-74.3087,571963,New Jersey,79.3,0.522727272727273
121,New Castle,New Castle,New Castle County,10003,DE,Delaware,39.5768,-75.6527,567769,Delaware,79.7,0.5
122,Dane,Dane,Dane County,55025,WI,Wisconsin,43.0673,-89.4181,555474,Wisconsin,84.7,0.21590909090909083
123,Pasco,Pasco,Pasco County,12101,FL,Florida,28.3091,-82.3932,551598,Florida,76.3,0.6931818181818186
124,Stanislaus,Stanislaus,Stanislaus County,6099,CA,California,37.5591,-120.9977,550842,California,71.6,0.9602272727272734
125,Lancaster,Lancaster,Lancaster County,42071,PA,Pennsylvania,40.0424,-76.2477,550480,Pennsylvania,81.9,0.3749999999999998
126,Ramsey,Ramsey,Ramsey County,27123,MN,Minnesota,45.0171,-93.0996,549377,Minnesota,86.9,0.0909090909090906
127,Volusia,Volusia,Volusia County,12127,FL,Florida,29.0584,-81.1819,548783,Florida,76.3,0.6931818181818186
128,Summit,Summit,Summit County,39153,OH,Ohio,41.126,-81.5322,540567,Ohio,82.3,0.3522727272727275
129,Guilford,Guilford,Guilford County,37081,NC,North Carolina,36.0795,-79.7889,537113,North Carolina,78.7,0.5568181818181819
130,Montgomery,Montgomery,Montgomery County,39113,OH,Ohio,39.7547,-84.2907,536136,Ohio,82.3,0.3522727272727275
131,Chester,Chester,Chester County,42029,PA,Pennsylvania,39.9731,-75.7484,531704,Pennsylvania,81.9,0.3749999999999998
132,Spokane,Spokane,Spokane County,53063,WA,Washington,47.6207,-117.404,531477,Washington,83.9,0.26136363636363613
133,Plymouth,Plymouth,Plymouth County,25023,MA,Massachusetts,41.9512,-70.8114,527602,Massachusetts,82.7,0.3295454545454545
134,Camden,Camden,Camden County,34007,NJ,New Jersey,39.8035,-74.9597,521194,New Jersey,79.3,0.522727272727273
135,Passaic,Passaic,Passaic County,34031,NJ,New Jersey,41.0343,-74.3008,521067,New Jersey,79.3,0.522727272727273
136,Sedgwick,Sedgwick,Sedgwick County,20173,KS,Kansas,37.6848,-97.461,520467,Kansas,83.1,0.3068181818181822
137,Greenville,Greenville,Greenville County,45045,SC,South Carolina,34.8941,-82.3706,519178,South Carolina,77.6,0.6193181818181823
138,Kane,Kane,Kane County,17089,IL,Illinois,41.9388,-88.4286,518648,Illinois,79.6,0.5056818181818187
139,Adams,Adams,Adams County,8001,CO,Colorado,39.8736,-104.3379,514969,Colorado,83.4,0.28977272727272707
140,Morris,Morris,Morris County,34027,NJ,New Jersey,40.862,-74.5445,508347,New Jersey,79.3,0.522727272727273
141,Clark,Clark,Clark County,53011,WA,Washington,45.7792,-122.4825,496494,Washington,83.9,0.26136363636363613
142,Lake,Lake,Lake County,18089,IN,Indiana,41.4167,-87.3821,495925,Indiana,81.3,0.4090909090909094
143,Richmond,Richmond,Richmond County,36085,NY,New York,40.5808,-74.1524,493194,New York,75.6,0.7329545454545461
144,Sonoma,Sonoma,Sonoma County,6097,CA,California,38.5289,-122.8881,492498,California,71.6,0.9602272727272734
145,Polk,Polk,Polk County,19153,IA,Iowa,41.6854,-93.5734,488871,Iowa,85.1,0.19318181818181857
146,Ada,Ada,Ada County,16001,ID,Idaho,43.4511,-116.2412,485246,Idaho,83.6,0.2784090909090913
147,Washoe,Washoe,Washoe County,32031,NV,Nevada,40.6655,-119.6643,479758,Nevada,74.7,0.7840909090909092
148,Prince William,Prince William,Prince William County,51153,VA,Virginia,38.7029,-77.4809,477224,Virginia,81.2,0.4147727272727273
149,Knox,Knox,Knox County,47093,TN,Tennessee,35.9932,-83.9371,475286,Tennessee,78.3,0.5795454545454549
150,Onondaga,Onondaga,Onondaga County,36067,NY,New York,43.0058,-76.1946,474621,New York,75.6,0.7329545454545461
151,Tulare,Tulare,Tulare County,6107,CA,California,36.2202,-118.8005,470999,California,71.6,0.9602272727272734
152,Seminole,Seminole,Seminole County,12117,FL,Florida,28.717,-81.2363,467382,Florida,76.3,0.6931818181818186
153,Hampden,Hampden,Hampden County,25013,MA,Massachusetts,42.1351,-72.6316,466265,Massachusetts,82.7,0.3295454545454545
154,Burlington,Burlington,Burlington County,34005,NJ,New Jersey,39.8777,-74.6681,460102,New Jersey,79.3,0.522727272727273
155,Virginia Beach,Virginia Beach,Virginia Beach City,51810,VA,Virginia,36.7335,-76.0435,457658,Virginia,81.2,0.4147727272727273
156,East Baton Rouge,East Baton Rouge,East Baton Rouge Parish,22033,LA,Louisiana,30.5383,-91.0956,455447,Louisiana,72.9,0.8863636363636364
157,York,York,York County,42133,PA,Pennsylvania,39.92,-76.7265,454605,Pennsylvania,81.9,0.3749999999999998
158,Solano,Solano,Solano County,6095,CA,California,38.27,-121.9329,451432,California,71.6,0.9602272727272734
159,Santa Barbara,Santa Barbara,Santa Barbara County,6083,CA,California,34.6729,-120.0169,447651,California,71.6,0.9602272727272734
160,Jefferson,Jefferson,Jefferson Parish,22051,LA,Louisiana,29.7872,-90.1274,439402,Louisiana,72.9,0.8863636363636364
161,Monterey,Monterey,Monterey County,6053,CA,California,36.2171,-121.2388,438953,California,71.6,0.9602272727272734
162,Dakota,Dakota,Dakota County,27037,MN,Minnesota,44.6719,-93.0654,435863,Minnesota,86.9,0.0909090909090906
163,Lucas,Lucas,Lucas County,39095,OH,Ohio,41.6197,-83.6588,431212,Ohio,82.3,0.3522727272727275
164,Sarasota,Sarasota,Sarasota County,12115,FL,Florida,27.1845,-82.3315,429336,Florida,76.3,0.6931818181818186
165,Berks,Berks,Berks County,42011,PA,Pennsylvania,40.4163,-75.926,426967,Pennsylvania,81.9,0.3749999999999998
166,Pinal,Pinal,Pinal County,4021,AZ,Arizona,32.9044,-111.3448,420625,Arizona,76.6,0.6761363636363642
167,Cameron,Cameron,Cameron County,48061,TX,Texas,26.1333,-97.5182,420554,Texas,71.8,0.9488636363636368
168,Hillsborough,Hillsborough,Hillsborough County,33011,NH,New Hampshire,42.9153,-71.7161,420504,New Hampshire,88.5,0.0
169,Clackamas,Clackamas,Clackamas County,41005,OR,Oregon,45.188,-122.2209,418577,Oregon,83.2,0.30113636363636354
170,Richland,Richland,Richland County,45079,SC,South Carolina,34.0218,-80.9031,414719,South Carolina,77.6,0.6193181818181823
171,Mobile,Mobile,Mobile County,1097,AL,Alabama,30.7872,-88.2058,414620,Alabama,76.1,0.704545454545455
172,Loudoun,Loudoun,Loudoun County,51107,VA,Virginia,39.0907,-77.6357,413574,Virginia,81.2,0.4147727272727273
173,Genesee,Genesee,Genesee County,26049,MI,Michigan,43.0217,-83.7067,406400,Michigan,82.4,0.34659090909090884
174,Waukesha,Waukesha,Waukesha County,55133,WI,Wisconsin,43.0182,-88.3045,405332,Wisconsin,84.7,0.21590909090909083
175,Charleston,Charleston,Charleston County,45019,SC,South Carolina,32.8346,-79.9531,404946,South Carolina,77.6,0.6193181818181823
176,St. Charles,St. Charles,St. Charles County,29183,MO,Missouri,38.782,-90.6749,402377,Missouri,81.1,0.42045454545454586
177,Placer,Placer,Placer County,6061,CA,California,39.0634,-120.7177,400330,California,71.6,0.9602272727272734
178,Orange,Orange,Orange County,36071,NY,New York,41.4022,-74.3056,398277,New York,75.6,0.7329545454545461
179,Pulaski,Pulaski,Pulaski County,5119,AR,Arkansas,34.77,-92.312,397931,Arkansas,76.9,0.659090909090909
180,Manatee,Manatee,Manatee County,12081,FL,Florida,27.4719,-82.3153,394824,Florida,76.3,0.6931818181818186
181,Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756,387830,Ohio,82.3,0.3522727272727275
182,Mercer,Mercer,Mercer County,34021,NJ,New Jersey,40.2834,-74.7018,384951,New Jersey,79.3,0.522727272727273
183,Orleans,Orleans,Orleans Parish,22071,LA,Louisiana,30.0687,-89.9288,383974,Louisiana,72.9,0.8863636363636364
184,Madison,Madison,Madison County,1089,AL,Alabama,34.7631,-86.5502,382149,Alabama,76.1,0.704545454545455
185,Allen,Allen,Allen County,18003,IN,Indiana,41.0909,-85.0666,381839,Indiana,81.3,0.4090909090909094
186,Forsyth,Forsyth,Forsyth County,37067,NC,North Carolina,36.1306,-80.2563,380583,North Carolina,78.7,0.5568181818181819
187,Lane,Lane,Lane County,41039,OR,Oregon,43.9386,-122.848,380532,Oregon,83.2,0.30113636363636354
188,Osceola,Osceola,Osceola County,12097,FL,Florida,28.0627,-81.1494,380331,Florida,76.3,0.6931818181818186
189,Lake,Lake,Lake County,12069,FL,Florida,28.7615,-81.7113,375059,Florida,76.3,0.6931818181818186
190,Stark,Stark,Stark County,39151,OH,Ohio,40.8139,-81.3656,374712,Ohio,82.3,0.3522727272727275
191,Collier,Collier,Collier County,12021,FL,Florida,26.1108,-81.3475,372797,Florida,76.3,0.6931818181818186
192,Lehigh,Lehigh,Lehigh County,42077,PA,Pennsylvania,40.6127,-75.5923,372492,Pennsylvania,81.9,0.3749999999999998
193,Washtenaw,Washtenaw,Washtenaw County,26161,MI,Michigan,42.2532,-83.8388,372428,Michigan,82.4,0.34659090909090884
194,Marion,Marion,Marion County,12083,FL,Florida,29.2102,-82.0567,370372,Florida,76.3,0.6931818181818186
195,Brazoria,Brazoria,Brazoria County,48039,TX,Texas,29.1897,-95.4521,368575,Texas,71.8,0.9488636363636368
196,Bell,Bell,Bell County,48027,TX,Texas,31.0373,-97.4788,364703,Texas,71.8,0.9488636363636368
197,Hamilton,Hamilton,Hamilton County,47065,TN,Tennessee,35.1808,-85.1648,363790,Tennessee,78.3,0.5795454545454549
198,Anoka,Anoka,Anoka County,27003,MN,Minnesota,45.2733,-93.2465,360773,Minnesota,86.9,0.0909090909090906
199,Chesterfield,Chesterfield,Chesterfield County,51041,VA,Virginia,37.3785,-77.587,359798,Virginia,81.2,0.4147727272727273
200,Davis,Davis,Davis County,49011,UT,Utah,40.99,-112.1115,358831,Utah,85.5,0.17045454545454553
201,Westmoreland,Westmoreland,Westmoreland County,42129,PA,Pennsylvania,40.3109,-79.4668,355107,Pennsylvania,81.9,0.3749999999999998
202,Larimer,Larimer,Larimer County,8069,CO,Colorado,40.6664,-105.4612,354670,Colorado,83.4,0.28977272727272707
203,Nueces,Nueces,Nueces County,48355,TX,Texas,27.7254,-97.6134,353594,Texas,71.8,0.9488636363636368
204,Douglas,Douglas,Douglas County,8035,CO,Colorado,39.3297,-104.9296,351929,Colorado,83.4,0.28977272727272707
205,Galveston,Galveston,Galveston County,48167,TX,Texas,29.3945,-94.9635,347084,Texas,71.8,0.9488636363636368
206,Horry,Horry,Horry County,45051,SC,South Carolina,33.9214,-78.9966,344865,South Carolina,77.6,0.6193181818181823
207,Marion,Marion,Marion County,41047,OR,Oregon,44.9033,-122.5845,344037,Oregon,83.2,0.30113636363636354
208,Somerset,Somerset,Somerset County,34035,NJ,New Jersey,40.5635,-74.6163,343950,New Jersey,79.3,0.522727272727273
209,Hamilton,Hamilton,Hamilton County,18057,IN,Indiana,40.0725,-86.052,341616,Indiana,81.3,0.4090909090909094
210,Rockland,Rockland,Rockland County,36087,NY,New York,41.1525,-74.0242,336485,New York,75.6,0.7329545454545461
211,Rutherford,Rutherford,Rutherford County,47149,TN,Tennessee,35.8427,-86.4168,335595,Tennessee,78.3,0.5795454545454549
212,Cumberland,Cumberland,Cumberland County,37051,NC,North Carolina,35.0487,-78.8277,333582,North Carolina,78.7,0.5568181818181819
213,Henrico,Henrico,Henrico County,51087,VA,Virginia,37.538,-77.4058,331924,Virginia,81.2,0.4147727272727273
214,Howard,Howard,Howard County,24027,MD,Maryland,39.2507,-76.9312,329248,Maryland,80.0,0.48295454545454564
215,Boulder,Boulder,Boulder County,8013,CO,Colorado,40.0925,-105.3577,328713,Colorado,83.4,0.28977272727272707
216,Luzerne,Luzerne,Luzerne County,42079,PA,Pennsylvania,41.177,-75.9892,324825,Pennsylvania,81.9,0.3749999999999998
217,St. Lucie,St. Lucie,St. Lucie County,12111,FL,Florida,27.3773,-80.472,324599,Florida,76.3,0.6931818181818186
218,Spartanburg,Spartanburg,Spartanburg County,45083,SC,South Carolina,34.9309,-81.9908,322864,South Carolina,77.6,0.6193181818181823
219,Weld,Weld,Weld County,8123,CO,Colorado,40.5548,-104.3925,322424,Colorado,83.4,0.28977272727272707
220,Fayette,Fayette,Fayette County,21067,KY,Kentucky,38.0423,-84.4587,321354,Kentucky,78.1,0.5909090909090915
221,Lancaster,Lancaster,Lancaster County,31109,NE,Nebraska,40.7842,-96.6878,320301,Nebraska,83.6,0.2784090909090913
222,Durham,Durham,Durham County,37063,NC,North Carolina,36.036,-78.8766,320146,North Carolina,78.7,0.5568181818181819
223,Escambia,Escambia,Escambia County,12033,FL,Florida,30.669,-87.363,318828,Florida,76.3,0.6931818181818186
224,Albany,Albany,Albany County,36001,NY,New York,42.6002,-73.9736,314679,New York,75.6,0.7329545454545461
225,Rockingham,Rockingham,Rockingham County,33015,NH,New Hampshire,42.9875,-71.1254,312771,New Hampshire,88.5,0.0
