,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
2673,Southeast Fairbanks,Southeast Fairbanks,Southeast Fairbanks Census Area,2240,AK,Alaska,63.8762,-143.213,6849,Alaska,87.3,0.06818181818181834
2674,Refugio,Refugio,Refugio County,48391,TX,Texas,28.3253,-97.1656,6822,Texas,71.8,0.9488636363636368
2675,Tucker,Tucker,Tucker County,54093,WV,West Virginia,39.1136,-79.565,6822,West Virginia,79.1,0.5340909090909096
2676,Charles City,Charles City,Charles City County,51036,VA,Virginia,37.3567,-77.0622,6817,Virginia,81.2,0.4147727272727273
2677,Thurston,Thurston,Thurston County,31173,NE,Nebraska,42.1582,-96.544,6806,Nebraska,83.6,0.2784090909090913
2678,Huerfano,Huerfano,Huerfano County,8055,CO,Colorado,37.6847,-104.9606,6787,Colorado,83.4,0.28977272727272707
2679,Childress,Childress,Childress County,48075,TX,Texas,34.5291,-100.2076,6784,Texas,71.8,0.9488636363636368
2680,Lac qui Parle,Lac qui Parle,Lac qui Parle County,27073,MN,Minnesota,44.9955,-96.1735,6753,Minnesota,86.9,0.0909090909090906
2681,Russell,Russell,Russell County,20167,KS,Kansas,38.9148,-98.7624,6747,Kansas,83.1,0.3068181818181822
2682,Clinch,Clinch,Clinch County,13065,GA,Georgia,30.915,-82.7063,6737,Georgia,76.4,0.6874999999999999
2683,Burt,Burt,Burt County,31021,NE,Nebraska,41.8515,-96.3286,6705,Nebraska,83.6,0.2784090909090913
2684,Fremont,Fremont,Fremont County,19071,IA,Iowa,40.7456,-95.6047,6702,Iowa,85.1,0.19318181818181857
2685,Hancock,Hancock,Hancock County,47067,TN,Tennessee,36.5236,-83.2219,6695,Tennessee,78.3,0.5795454545454549
2686,King and Queen,King and Queen,King and Queen County,51097,VA,Virginia,37.7186,-76.8953,6690,Virginia,81.2,0.4147727272727273
2687,Galax,Galax,Galax City,51640,VA,Virginia,36.666,-80.9176,6681,Virginia,81.2,0.4147727272727273
2688,Pershing,Pershing,Pershing County,32027,NV,Nevada,40.4404,-118.4044,6668,Nevada,74.7,0.7840909090909092
2689,Wolfe,Wolfe,Wolfe County,21237,KY,Kentucky,37.7393,-83.4932,6666,Kentucky,78.1,0.5909090909090915
2690,Clark,Clark,Clark County,29045,MO,Missouri,40.4103,-91.7384,6649,Missouri,81.1,0.42045454545454586
2691,Buena Vista,Buena Vista,Buena Vista City,51530,VA,Virginia,37.7319,-79.3569,6649,Virginia,81.2,0.4147727272727273
2692,Dallas,Dallas,Dallas County,5039,AR,Arkansas,33.9699,-92.6544,6645,Arkansas,76.9,0.659090909090909
2693,Broadwater,Broadwater,Broadwater County,30007,MT,Montana,46.3324,-111.4955,6641,Montana,86.9,0.0909090909090906
2694,Kearney,Kearney,Kearney County,31099,NE,Nebraska,40.5067,-98.948,6639,Nebraska,83.6,0.2784090909090913
2695,Surry,Surry,Surry County,51181,VA,Virginia,37.1098,-76.9002,6563,Virginia,81.2,0.4147727272727273
2696,Fulton,Fulton,Fulton County,21075,KY,Kentucky,36.554,-89.1873,6507,Kentucky,78.1,0.5909090909090915
2697,Wayne,Wayne,Wayne County,19185,IA,Iowa,40.7395,-93.3274,6504,Iowa,85.1,0.19318181818181857
2698,Randolph,Randolph,Randolph County,13243,GA,Georgia,31.7627,-84.7542,6503,Georgia,76.4,0.6874999999999999
2699,Norman,Norman,Norman County,27107,MN,Minnesota,47.3265,-96.4553,6500,Minnesota,86.9,0.0909090909090906
2700,Wilkin,Wilkin,Wilkin County,27167,MN,Minnesota,46.357,-96.4683,6495,Minnesota,86.9,0.0909090909090906
2701,Rio Blanco,Rio Blanco,Rio Blanco County,8103,CO,Colorado,39.9798,-108.2171,6495,Colorado,83.4,0.28977272727272707
2702,Henderson,Henderson,Henderson County,17071,IL,Illinois,40.818,-90.9251,6485,Illinois,79.6,0.5056818181818187
2703,Moore,Moore,Moore County,47127,TN,Tennessee,35.2846,-86.3587,6481,Tennessee,78.3,0.5795454545454549
2704,Howard,Howard,Howard County,31093,NE,Nebraska,41.2201,-98.5171,6461,Nebraska,83.6,0.2784090909090913
2705,Bottineau,Bottineau,Bottineau County,38009,ND,North Dakota,48.7922,-100.8333,6442,North Dakota,86.6,0.10795454545454586
2706,Calhoun,Calhoun,Calhoun County,54013,WV,West Virginia,38.8445,-81.1176,6420,West Virginia,79.1,0.5340909090909096
2707,Treutlen,Treutlen,Treutlen County,13283,GA,Georgia,32.4039,-82.5673,6410,Georgia,76.4,0.6874999999999999
2708,Spink,Spink,Spink County,46115,SD,South Dakota,44.938,-98.3462,6408,South Dakota,85.1,0.19318181818181857
2709,Ellsworth,Ellsworth,Ellsworth County,20053,KS,Kansas,38.6966,-98.2048,6403,Kansas,83.1,0.3068181818181822
2710,Lafayette,Lafayette,Lafayette County,5073,AR,Arkansas,33.2416,-93.607,6373,Arkansas,76.9,0.659090909090909
2711,Saguache,Saguache,Saguache County,8109,CO,Colorado,38.0805,-106.2815,6369,Colorado,83.4,0.28977272727272707
2712,Pawnee,Pawnee,Pawnee County,20145,KS,Kansas,38.1813,-99.2367,6356,Kansas,83.1,0.3068181818181822
2713,Moody,Moody,Moody County,46101,SD,South Dakota,44.022,-96.6709,6335,South Dakota,85.1,0.19318181818181857
2714,Woodruff,Woodruff,Woodruff County,5147,AR,Arkansas,35.1863,-91.2431,6333,Arkansas,76.9,0.659090909090909
2715,Brown,Brown,Brown County,17009,IL,Illinois,39.9618,-90.7504,6330,Illinois,79.6,0.5056818181818187
2716,Presidio,Presidio,Presidio County,48377,TX,Texas,29.9998,-104.2405,6328,Texas,71.8,0.9488636363636368
2717,Bear Lake,Bear Lake,Bear Lake County,16007,ID,Idaho,42.2848,-111.3297,6327,Idaho,83.6,0.2784090909090913
2718,Quitman,Quitman,Quitman County,28119,MS,Mississippi,34.2514,-90.2891,6327,Mississippi,72.0,0.9375000000000003
2719,Antelope,Antelope,Antelope County,31003,NE,Nebraska,42.1769,-98.0667,6310,Nebraska,83.6,0.2784090909090913
2720,Bland,Bland,Bland County,51021,VA,Virginia,37.134,-81.1302,6278,Virginia,81.2,0.4147727272727273
2721,Pendleton,Pendleton,Pendleton County,54071,WV,West Virginia,38.6807,-79.3509,6249,West Virginia,79.1,0.5340909090909096
2722,Edwards,Edwards,Edwards County,17047,IL,Illinois,38.4165,-88.0533,6233,Illinois,79.6,0.5056818181818187
2723,Gentry,Gentry,Gentry County,29075,MO,Missouri,40.2121,-94.4099,6231,Missouri,81.1,0.42045454545454586
2724,Teton,Teton,Teton County,30099,MT,Montana,47.8371,-112.2409,6173,Montana,86.9,0.0909090909090906
2725,Osceola,Osceola,Osceola County,19143,IA,Iowa,43.3786,-95.6237,6168,Iowa,85.1,0.19318181818181857
2726,Menifee,Menifee,Menifee County,21165,KY,Kentucky,37.9414,-83.5989,6149,Kentucky,78.1,0.5909090909090915
2727,Reynolds,Reynolds,Reynolds County,29179,MO,Missouri,37.3623,-90.9691,6138,Missouri,81.1,0.42045454545454586
2728,Hamlin,Hamlin,Hamlin County,46057,SD,South Dakota,44.6738,-97.1883,6127,South Dakota,85.1,0.19318181818181857
2729,Clay,Clay,Clay County,31035,NE,Nebraska,40.5244,-98.0513,6104,Nebraska,83.6,0.2784090909090913
2730,Benson,Benson,Benson County,38005,ND,North Dakota,48.0694,-99.366,6090,North Dakota,86.6,0.10795454545454586
2731,Shelby,Shelby,Shelby County,29205,MO,Missouri,39.7978,-92.0766,6087,Missouri,81.1,0.42045454545454586
2732,Van Buren,Van Buren,Van Buren County,47175,TN,Tennessee,35.696,-85.4526,6083,Tennessee,78.3,0.5795454545454549
2733,Iron,Iron,Iron County,55051,WI,Wisconsin,46.2623,-90.242,6074,Wisconsin,84.7,0.21590909090909083
2734,Greenwood,Greenwood,Greenwood County,20073,KS,Kansas,37.8778,-96.2326,6049,Kansas,83.1,0.3068181818181822
2735,Grant,Grant,Grant County,27051,MN,Minnesota,45.9341,-96.0122,6045,Minnesota,86.9,0.0909090909090906
2736,Sullivan,Sullivan,Sullivan County,29211,MO,Missouri,40.2106,-93.1115,6045,Missouri,81.1,0.42045454545454586
2737,Cumberland,Cumberland,Cumberland County,21057,KY,Kentucky,36.7866,-85.3885,6023,Kentucky,78.1,0.5909090909090915
2738,Crowley,Crowley,Crowley County,8025,CO,Colorado,38.3266,-103.7845,6018,Colorado,83.4,0.28977272727272707
2739,Miller,Miller,Miller County,13201,GA,Georgia,31.164,-84.7308,5984,Georgia,76.4,0.6874999999999999
2740,Pondera,Pondera,Pondera County,30073,MT,Montana,48.2277,-112.2263,5974,Montana,86.9,0.0909090909090906
2741,Essex,Essex,Essex County,50009,VT,Vermont,44.7275,-71.7359,5972,Vermont,87.2,0.07386363636363624
2742,Sherman,Sherman,Sherman County,20181,KS,Kansas,39.3514,-101.72,5965,Kansas,83.1,0.3068181818181822
2743,Sullivan,Sullivan,Sullivan County,42113,PA,Pennsylvania,41.4462,-76.5122,5935,Pennsylvania,81.9,0.3749999999999998
2744,Taylor,Taylor,Taylor County,19173,IA,Iowa,40.7374,-94.6964,5932,Iowa,85.1,0.19318181818181857
2745,Ohio,Ohio,Ohio County,18115,IN,Indiana,38.9501,-84.9652,5931,Indiana,81.3,0.4090909090909094
2746,Chouteau,Chouteau,Chouteau County,30015,MT,Montana,47.8806,-110.4353,5896,Montana,86.9,0.0909090909090906
2747,Ontonagon,Ontonagon,Ontonagon County,26131,MI,Michigan,46.6644,-89.3148,5891,Michigan,82.4,0.34659090909090884
2748,Prince of Wales-Hyder,Prince of Wales-Hyder,Prince of Wales-Hyder Census Area,2198,AK,Alaska,55.7997,-133.0192,5886,Alaska,87.3,0.06818181818181834
2749,Mitchell,Mitchell,Mitchell County,20123,KS,Kansas,39.3933,-98.2094,5884,Kansas,83.1,0.3068181818181822
2750,Stanton,Stanton,Stanton County,31167,NE,Nebraska,41.9169,-97.1939,5877,Nebraska,83.6,0.2784090909090913
2751,Bent,Bent,Bent County,8011,CO,Colorado,37.9551,-103.0717,5861,Colorado,83.4,0.28977272727272707
2752,Carson,Carson,Carson County,48065,TX,Texas,35.4035,-101.3542,5856,Texas,71.8,0.9488636363636368
2753,Talbot,Talbot,Talbot County,13263,GA,Georgia,32.6995,-84.533,5837,Georgia,76.4,0.6874999999999999
2754,Gilpin,Gilpin,Gilpin County,8047,CO,Colorado,39.8575,-105.5226,5812,Colorado,83.4,0.28977272727272707
2755,Ottawa,Ottawa,Ottawa County,20143,KS,Kansas,39.1325,-97.6502,5778,Kansas,83.1,0.3068181818181822
2756,San Saba,San Saba,San Saba County,48411,TX,Texas,31.1552,-98.8176,5775,Texas,71.8,0.9488636363636368
2757,Emporia,Emporia,Emporia City,51595,VA,Virginia,36.6953,-77.5357,5761,Virginia,81.2,0.4147727272727273
2758,Alfalfa,Alfalfa,Alfalfa County,40003,OK,Oklahoma,36.731,-98.324,5744,Oklahoma,79.9,0.4886363636363634
2759,Garza,Garza,Garza County,48169,TX,Texas,33.1799,-101.2985,5734,Texas,71.8,0.9488636363636368
2760,Lander,Lander,Lander County,32015,NV,Nevada,39.9337,-117.038,5729,Nevada,74.7,0.7840909090909092
2761,Gray,Gray,Gray County,20069,KS,Kansas,37.7382,-100.4379,5720,Kansas,83.1,0.3068181818181822
2762,Covington,Covington,Covington City,51580,VA,Virginia,37.7785,-79.9868,5716,Virginia,81.2,0.4147727272727273
